tests/m6 , 2019-12-20 17:09:36.398880489+01:00 , 33df8ce55b072563f9dab0f061235e38ad8cca50 ,,   0 / 0,  5 / 36,
tests/m1 , 2019-12-20 22:32:52.222677145+01:00 , 0ee9e13356fbbd002fc33fc4d66f1c68aca1637f ,   118 / 118,  105 / 119, 94%,
tests/m2 , 2019-12-20 22:33:05.878680620+01:00 , 0ee9e13356fbbd002fc33fc4d66f1c68aca1637f ,   0 / 0,  67 / 72, 93%,
tests/m3 , 2019-12-20 22:33:08.871596742+01:00 , 0ee9e13356fbbd002fc33fc4d66f1c68aca1637f ,   53 / 56,  41 / 56, 83%,
tests/m4 , 2019-12-20 22:33:14.856023572+01:00 , 0ee9e13356fbbd002fc33fc4d66f1c68aca1637f ,   0 / 0,  31 / 31, 100%,
tests/m6 , 2019-12-20 22:33:18.272022469+01:00 , 0ee9e13356fbbd002fc33fc4d66f1c68aca1637f ,,   0 / 0,  15 / 36,
tests/m1 , 2019-12-22 13:48:33.028596311+01:00 , ee797fae7c11666e408528872d78a2b0ff94ea25 ,   118 / 118,  105 / 119, 94%,
tests/m2 , 2019-12-22 13:48:46.788153608+01:00 , ee797fae7c11666e408528872d78a2b0ff94ea25 ,   0 / 0,  67 / 72, 93%,
tests/m3 , 2019-12-22 13:48:49.972306450+01:00 , ee797fae7c11666e408528872d78a2b0ff94ea25 ,   53 / 56,  41 / 56, 83%,
tests/m4 , 2019-12-22 13:48:55.917894577+01:00 , ee797fae7c11666e408528872d78a2b0ff94ea25 ,   0 / 0,  31 / 31, 100%,
tests/m6 , 2019-12-22 13:48:59.761642136+01:00 , ee797fae7c11666e408528872d78a2b0ff94ea25 ,,   0 / 0,  17 / 36,
tests/m1 , 2019-12-22 16:05:12.502827644+01:00 , 24a10be27a8495db44ff072c0307f223fd435d08 ,   118 / 118,  105 / 119, 94%,
tests/m2 , 2019-12-22 16:05:24.863057398+01:00 , 24a10be27a8495db44ff072c0307f223fd435d08 ,   0 / 0,  67 / 72, 93%,
tests/m3 , 2019-12-22 16:05:27.482451379+01:00 , 24a10be27a8495db44ff072c0307f223fd435d08 ,   53 / 56,  41 / 56, 83%,
tests/m4 , 2019-12-22 16:05:32.605677715+01:00 , 24a10be27a8495db44ff072c0307f223fd435d08 ,   0 / 0,  31 / 31, 100%,
tests/m6 , 2019-12-22 16:05:35.499178721+01:00 , 24a10be27a8495db44ff072c0307f223fd435d08 ,,   0 / 0,  20 / 36,
tests/m1 , 2019-12-22 16:32:24.565542563+01:00 , 855d5df4d732a885dc9bcb7468bb2a367cf2d4f3 ,   118 / 118,  105 / 119, 94%,
tests/m2 , 2019-12-22 16:32:38.121924537+01:00 , 855d5df4d732a885dc9bcb7468bb2a367cf2d4f3 ,   0 / 0,  67 / 72, 93%,
tests/m3 , 2019-12-22 16:32:41.162435635+01:00 , 855d5df4d732a885dc9bcb7468bb2a367cf2d4f3 ,   53 / 56,  41 / 56, 83%,
tests/m4 , 2019-12-22 16:32:46.976392457+01:00 , 855d5df4d732a885dc9bcb7468bb2a367cf2d4f3 ,   0 / 0,  31 / 31, 100%,
tests/m6 , 2019-12-22 16:32:50.739098098+01:00 , 855d5df4d732a885dc9bcb7468bb2a367cf2d4f3 ,,   0 / 0,  20 / 36,
tests/m1 , 2019-12-22 18:53:24.188566700+01:00 , 370fab5412c528da23dbdcc7a398fdfee49e37c1 ,   118 / 118,  105 / 119, 94%,
tests/m2 , 2019-12-22 18:53:37.883582894+01:00 , 370fab5412c528da23dbdcc7a398fdfee49e37c1 ,   0 / 0,  67 / 72, 93%,
tests/m3 , 2019-12-22 18:53:40.961831965+01:00 , 370fab5412c528da23dbdcc7a398fdfee49e37c1 ,   53 / 56,  41 / 56, 83%,
tests/m4 , 2019-12-22 18:53:46.686499704+01:00 , 370fab5412c528da23dbdcc7a398fdfee49e37c1 ,   0 / 0,  31 / 31, 100%,
tests/m6 , 2019-12-22 18:53:50.303176680+01:00 , 370fab5412c528da23dbdcc7a398fdfee49e37c1 ,,   0 / 0,  20 / 36,
